Capacity Cal,
Time (s),Intensity (a.u.)
88.90000153,0.062654674
89.09999847,0.217238382
89.30000305,0.052583423
89.5,0.127825484
89.70000458,0.158480287
89.90000153,0.143889323
90.09999847,0.073152125
90.30000305,0.021024967
90.5,0.157906368
90.70000458,0.208214045
90.90000153,0.229133248
91.09999847,0.147116005
91.30000305,0.08115977
91.5,0.104165584
91.70000458,0.092215009
91.90000153,0.248239055
92.09999847,0.200432509
92.30000305,0.083614662
92.5,0.136524513
92.70000458,0.102933608
92.90000153,0.179205805
93.09999847,0.052883752
93.30000305,0.114615567
93.5,0.072525337
93.70000458,0.167308018
93.90000153,0.062787123
94.09999847,0.062267143
94.30000305,0.052841835
94.5,0.207364723
94.70000458,0.010497696
94.90000153,0.083755597
95.09999847,0.215005219
95.30000305,0.170261666
95.5,0.094478272
95.70000458,0.578545451
95.90000153,0.072556905
96.09999847,248.9438324
96.30000305,289.8592224
96.5,296.0420837
96.70000458,289.2297058
96.90000153,290.7322693
97.09999847,288.5475464
97.30000305,287.8841248
97.5,288.8691406
97.70000458,289.2344666
97.90000153,288.9202881
98.09999847,286.4819946
98.30000305,286.6960144
98.5,288.7577209
98.70000458,286.4699707
98.90000153,287.9735107
99.09999847,288.8182678
99.30000305,286.2882996
99.5,287.2510376
99.70000458,287.344574
99.90000153,287.9153748
100.0999985,287.2688599
100.3000031,289.3682861
100.5,284.5748596
100.7000046,286.354126
100.9000015,288.2805786
101.0999985,288.6820068
101.3000031,285.1286011
101.5,287.8130188
101.7000046,289.7979736
101.9000015,287.6671448
102.0999985,289.3374939
102.3000031,286.5239563
102.5,286.4713135
102.7000046,288.9473267
102.9000015,288.0216675
103.0999985,287.3936462
103.3000031,289.5300598
103.5,290.844635
103.7000046,285.8411865
103.9000015,289.3887939
104.0999985,289.7600403
104.3000031,288.7720337
104.5,289.0569153
104.7000046,286.3607178
104.9000015,287.0044556
105.0999985,287.5374756
105.3000031,287.785553
105.5,286.3863831
105.7000046,289.6283569
105.9000015,289.6399536
106.0999985,287.0648193
106.3000031,286.6786499
106.5,288.8619995
106.7000046,286.6494141
106.9000015,288.62854
107.0999985,288.8916321
107.3000031,288.2014771
107.5,290.3071594
107.7000046,290.0482483
107.9000015,289.9885864
108.0999985,288.1965332
108.3000031,288.7656555
108.5,288.0824585
108.7000046,289.5017395
108.9000015,287.9497681
109.0999985,287.7030334
109.3000031,289.0724792
109.5,286.9190063
109.7000046,288.817749
109.9000015,288.0977783
110.0999985,290.126709
110.3000031,289.1505432
110.5,287.0460205
110.7000046,288.1004028
110.9000015,287.8462524
111.0999985,287.2931213
111.3000031,289.5314941
111.5,287.889679
111.7000046,290.2672119
111.9000015,287.5218506
112.0999985,289.6385803
112.3000031,288.8021545
112.5,286.545105
112.7000046,290.0489807
112.9000015,288.9823303
113.0999985,286.3204651
113.3000031,288.2287598
113.5,288.6626282
113.7000046,288.866394
113.9000015,288.8138733
114.0999985,291.9880981
114.3000031,287.4625549
114.5,290.0088501
114.7000046,288.9302673
114.9000015,287.8138733
115.0999985,286.8626099
115.3000031,289.7404785
115.5,288.2405396
115.7000046,288.6985168
115.9000015,289.1682739
116.0999985,289.6126404
116.3000031,289.4155579
116.5,289.5543213
116.7000046,287.4039001
116.9000015,286.7011414
117.0999985,289.1058655
117.3000031,286.3069763
117.5,270.302124
117.7000046,36.4842453
117.9000015,2.163095474
118.0999985,0.104794346
118.3000031,0.164373994
118.5,0.13770166
118.7000046,0.306203693
118.9000015,0.260462791
119.0999985,0.122177199
119.3000031,0.070860244
119.5,0.228635564
119.7000046,0.148837581
119.9000015,0.189992398
120.0999985,0.137903228
120.3000031,0.136098579
120.5,0.145813584
120.7000046,0.040539581
120.9000015,0.041502815
121.0999985,0
121.3000031,0.051044889
121.5,0.085025877
121.7000046,0.08212541
121.9000015,0.148311377
122.0999985,0.104182944
122.3000031,0.165048838
122.5,0.148352236
