Proton Cal,
Time (s),Intensity (a.u.)
164.5,101.8736343
164.6999969,100.3147049
164.9000092,100.5696487
165.1000061,100.1110992
165.3000031,99.85830688
165.5,102.0247192
165.6999969,100.3395615
165.9000092,98.47280121
166.1000061,15.51642895
166.3000031,0.086647607
166.5,0.202183589
166.6999969,0.2073562
166.9000092,0.252623409
167.1000061,0.145070508
167.3000031,0.167886302
167.5,0.010202624
167.6999969,0.206931204
167.9000092,0.119183593
168.1000061,0.197722241
168.3000031,0.18644999
168.5,0.029983809
168.6999969,-0.049901195
168.9000092,0.204351723
169.1000061,0.131183282
169.3000031,0.135372952
169.5,0.140438169
169.6999969,0.069072358
169.9000092,0.118835412
170.1000061,0.176368579
170.3000031,0.14551805
170.5,0.169609889
170.6999969,0.153818056
170.9000092,0.128964409
171.1000061,0.068850882
171.3000031,0.17751129
171.5,0.067909732
171.6999969,0.116674766
171.9000092,0.23499462
172.1000061,0.137996286
172.3000031,0.238918945
172.5,0.116459623
172.6999969,0.148426682
172.9000092,0.158386037
173.1000061,0.029346742
173.3000031,0.096067943
173.5,0.019280825
173.6999969,0.110941894
173.9000092,0.098080561
174.1000061,0.106282249
174.3000031,0.21948421
174.5,0.118102104
174.6999969,0.206286833
174.9000092,0.193653956
175.1000061,0.099442124
175.3000031,0.009726302
175.5,0.039787136
175.6999969,0.217028886
175.9000092,0.134912446
176.1000061,0.069847733
176.3000031,0.020032052
176.5,0.124544941
176.6999969,0.099303879
176.9000092,0.156000152
177.1000061,0.091502473
177.3000031,0.108842999
177.5,0.081150718
177.6999969,0.019729314
177.9000092,0.181237862
178.1000061,0.15705058
178.3000031,0.098581411
178.5,0.12144766
178.6999969,0.177499041
178.9000092,0.129518181
179.1000061,0.029607113
179.3000031,0.156942755
179.5,0.101260692
179.6999969,0.149331003
179.9000092,0.160468563
180.1000061,0.127059832
180.3000031,0.188480839
180.5,0.195991963
180.6999969,0.128862143
180.9000092,0.05908303
181.1000061,0.058567438
181.3000031,0.215586931
181.5,0.030113226
181.6999969,0.14445439
181.9000092,0.039837461
182.1000061,0.225780174
182.3000031,0.089775562
182.5,0.130310148
182.6999969,0.178818002
182.9000092,0.009780716
183.1000061,0.233081326
183.3000031,0
183.5,34.8769989
183.6999969,106.4347382
183.9000092,106.9944382
184.1000061,107.1298904
184.3000031,107.970787
184.5,108.0105362
184.6999969,107.6035385
184.9000092,108.466156
185.1000061,108.6219406
185.3000031,107.6436539
185.5,107.3714447
185.6999969,109.8121414
185.9000092,110.3742981
186.1000061,109.6223679
186.3000031,110.0166397
186.5,111.3734818
186.6999969,109.9610596
186.9000092,109.5804596
187.1000061,109.1818542
187.3000031,110.3885269
187.5,110.7243423
187.6999969,111.126236
187.9000092,110.9859695
188.1000061,110.8884201
188.3000031,109.561615
188.5,111.1645584
188.6999969,109.6408157
188.9000092,110.821434
189.1000061,110.7267761
189.3000031,110.2530441
189.5,110.825531
